Surface pressure file

Angle of attack:         0                   
Mach:                    0.8                 
Panels:                  1000                
Full reference surface:  10                  
Lift coefficient:        -5.13489e-06        
Drag coefficient:        0.00418851          
Lift to drag ratio:      -0.00122595         

*** Stat0 - y = 0.25 ***
              x              z             cp
       0.578179      0.0472235      -0.224724
       0.547031      0.0496045      -0.249371
       0.515697       0.051808      -0.276155
       0.484302      0.0538055      -0.305935
       0.452969      0.0555695      -0.341115
       0.421821      0.0570725      -0.383934
       0.390982       0.058287      -0.437467
       0.360573       0.059188      -0.507261
       0.330715       0.059752      -0.591254
       0.301524       0.059959      -0.674918
       0.273116      0.0597925      -0.737627
       0.245605      0.0592385      -0.764662
       0.219097      0.0582875      -0.758934
       0.193698      0.0569355      -0.729263
       0.169507      0.0551825      -0.684746
       0.146621       0.053034      -0.635803
        0.12513         0.0505      -0.587209
       0.105117      0.0475935       -0.54109
       0.086664       0.044332       -0.50383
      0.0698415       0.040737      -0.412117
      0.0547165       0.036831      -0.319979
       0.041349       0.032638      -0.209962
       0.029792       0.028183     -0.0990259
        0.02009      0.0234905      0.0237502
       0.012282       0.018583       0.188104
      0.0063995       0.013481       0.439112
       0.002465      0.0082025       0.794656
      0.0004935      0.0027605        1.11814
      0.0004935     -0.0027605        1.11813
       0.002465     -0.0082025       0.794634
      0.0063995      -0.013481       0.439084
       0.012282      -0.018583       0.188075
        0.02009     -0.0234905      0.0237227
       0.029792      -0.028183     -0.0990541
       0.041349      -0.032638      -0.209994
      0.0547165      -0.036831      -0.320019
      0.0698415      -0.040737      -0.412169
       0.086664      -0.044332      -0.503904
       0.105118     -0.0475935      -0.541195
        0.12513        -0.0505      -0.587365
       0.146621      -0.053034      -0.636027
       0.169507     -0.0551825      -0.685043
       0.193698     -0.0569355      -0.729604
       0.219097     -0.0582875      -0.759234
       0.245605     -0.0592385      -0.764814
       0.273116     -0.0597925      -0.737566
       0.301524      -0.059959      -0.674682
       0.330715      -0.059752      -0.590964
       0.360573      -0.059188      -0.507019
       0.390982      -0.058287      -0.437309
       0.421821     -0.0570725      -0.383845
       0.452969     -0.0555695      -0.341069
       0.484302     -0.0538055      -0.305912
       0.515697      -0.051808      -0.276142
       0.547031     -0.0496045      -0.249362
       0.578179     -0.0472235      -0.224717
       0.609018      -0.044693      -0.202114
       0.639427       -0.04204      -0.177917
       0.669285      -0.039291      -0.151992
       0.698476      -0.036472      -0.123944
       0.726884      -0.033608     -0.0959551
       0.754395     -0.0307235     -0.0691243
       0.780903      -0.027842     -0.0437688
       0.806302      -0.024987     -0.0194956
       0.830493      -0.022182     0.00308213
       0.853379     -0.0194505      0.0307164
        0.87487     -0.0168145      0.0595355
       0.894883      -0.014297      0.0905369
       0.913336     -0.0119205       0.124249
       0.930158     -0.0097065       0.159433
       0.945283     -0.0076765       0.194303
       0.958651       -0.00585       0.229429
       0.970208     -0.0042455       0.265022
        0.97991     -0.0028805       0.302502
       0.987718       -0.00177       0.344415
       0.993601      -0.000926       0.393458
       0.997535     -0.0003575       0.453304
       0.999507      -7.15e-05       0.487067

*** Stat6 - y = 3.25 ***
              x              z             cp
       0.999507       7.15e-05        0.48523
       0.997535      0.0003575       0.451379
         0.9936       0.000926       0.391376
       0.987718        0.00177       0.342168
        0.97991      0.0028805       0.300091
       0.970208      0.0042455       0.262449
       0.958651        0.00585       0.226699
       0.945283      0.0076765       0.191425
       0.930158      0.0097065       0.156454
       0.913336      0.0119205       0.121222
       0.894883       0.014297       0.087548
       0.874871      0.0168145      0.0565895
       0.853379      0.0194505      0.0278503
       0.830493       0.022182    0.000356865
       0.806303       0.024987     -0.0222706
       0.780903       0.027842     -0.0464653
       0.754395      0.0307235     -0.0715862
       0.726884       0.033608     -0.0979796
       0.698476       0.036472        -0.1254
       0.669285       0.039291      -0.152893
       0.639427        0.04204      -0.178512
